iter	Logloss
0	0.6786524767
1	0.664996215
2	0.6520748974
3	0.6403088187
4	0.6285745003
5	0.6173581304
6	0.607118183
7	0.5972595758
8	0.5877419221
9	0.5789356349
10	0.5701351434
11	0.5620250075
12	0.5542605315
13	0.5470025632
14	0.5405382768
15	0.5344107129
16	0.5281287229
17	0.5226592668
18	0.5177748384
19	0.5129983187
20	0.5081903878
21	0.5039695505
22	0.499903087
23	0.4956209779
24	0.4915862352
25	0.48769563
26	0.4840280616
27	0.4807821766
28	0.4773961249
29	0.4744086571
30	0.4719695534
31	0.468926785
32	0.4668736714
33	0.4646112134
34	0.4624669327
35	0.4602690242
36	0.4579667049
37	0.4558572834
38	0.4540942431
39	0.4522602665
40	0.4507596469
41	0.4490834665
42	0.4470297071
43	0.4454981574
44	0.4440001685
45	0.4423408925
46	0.4409826013
47	0.4394932756
48	0.4380972768
49	0.436585522
50	0.4351734959
51	0.4340919491
52	0.4331408269
53	0.4321173239
54	0.4308275167
55	0.4297395114
56	0.4286405093
57	0.4275089988
58	0.4264791007
59	0.4253142509
60	0.4244564379
61	0.4235763256
62	0.4225668488
63	0.4217088278
64	0.420936447
65	0.4201745745
66	0.4195488041
67	0.4187734725
68	0.4179816936
69	0.4173036867
70	0.4165385486
71	0.4158693394
72	0.4150978754
73	0.4147081342
74	0.4140921886
75	0.413379044
76	0.4128131895
77	0.4121048377
78	0.4115915599
79	0.4109741762
80	0.4103847025
81	0.409893066
82	0.4093309019
83	0.4089100344
84	0.4083559271
85	0.4078446611
86	0.40734142
87	0.4068632777
88	0.4064716159
89	0.4059514228
90	0.4055942578
91	0.4051146592
92	0.4046226523
93	0.4041629826
94	0.4036323793
95	0.4031774333
96	0.4027477517
97	0.4022977312
98	0.4018694342
99	0.4014787284
100	0.4011484323
101	0.4007901231
102	0.4004272403
103	0.4000729766
104	0.399810825
105	0.3994161204
106	0.3989799094
107	0.3986677842
108	0.3983268852
109	0.3979928145
110	0.3975974565
111	0.3972873894
112	0.3970556202
113	0.3968006769
114	0.3965703259
115	0.3962465501
116	0.3960083403
117	0.3956687026
118	0.3953746583
119	0.3950360712
120	0.3946980369
121	0.3943706345
122	0.3940230696
123	0.393726975
124	0.3935206519
125	0.3932130927
126	0.3929979939
127	0.392680827
128	0.3923342356
129	0.3919475751
130	0.3917272842
131	0.3914599834
132	0.3911067717
133	0.3907954941
134	0.3905783128
135	0.3903575429
136	0.3901264897
137	0.3898644229
138	0.3896398461
139	0.3893930112
140	0.3890647641
141	0.3888178232
142	0.3886057914
143	0.3884242977
144	0.3881648535
145	0.3879690004
146	0.3877152959
147	0.3874921708
148	0.3872594154
149	0.3870096462
150	0.3868070988
151	0.3865566758
152	0.3863659837
153	0.3861540639
154	0.3858600143
155	0.3856666598
156	0.3854633392
157	0.3852364973
158	0.3850036883
159	0.3847866388
160	0.3846059469
161	0.3843491554
162	0.3841550938
163	0.3839622829
164	0.3836227681
165	0.3833676494
166	0.3831503023
167	0.3829699239
168	0.3827277229
169	0.3825555574
170	0.3823497647
171	0.3821123432
172	0.3817993859
173	0.381536096
174	0.3812251885
175	0.3809924743
176	0.3808564679
177	0.3807073169
178	0.3804682827
179	0.3801752585
180	0.380017869
181	0.3798776198
182	0.3797332678
183	0.3795585203
184	0.3793964193
185	0.3791378627
186	0.3789810113
187	0.3787765959
188	0.3785648435
189	0.3783752479
190	0.3782241241
191	0.378066867
192	0.3777862225
193	0.3776211833
194	0.3775246543
195	0.3773815723
196	0.3772384944
197	0.3770721484
198	0.3769125983
199	0.3766516527
200	0.3764313595
201	0.3762564294
202	0.376125766
203	0.3759753256
204	0.3757600351
205	0.3755441226
206	0.3754189317
207	0.3752607092
208	0.3750007864
209	0.3747970162
210	0.374633923
211	0.3745272545
212	0.3742679043
213	0.3740754071
214	0.3739413855
215	0.3738505987
216	0.3736003009
217	0.373442188
218	0.3732364403
219	0.3730501839
220	0.3728952515
221	0.3727155727
222	0.372469891
223	0.3723219065
224	0.3720775559
225	0.3719522336
226	0.3718130804
227	0.3716296781
228	0.3714602019
229	0.3713178945
230	0.3711702576
