iter	Passed	Remaining
0	162	162753
1	169	84721
2	176	58735
3	184	45828
4	190	37939
5	197	32713
6	203	28930
7	209	26011
8	216	23803
9	222	22046
10	229	20611
11	242	19970
12	249	18943
13	256	18040
14	262	17209
15	268	16507
16	274	15873
17	280	15293
18	286	14777
19	292	14334
20	298	13929
21	305	13573
22	310	13208
23	316	12867
24	321	12553
25	327	12256
26	332	11980
27	337	11704
28	341	11442
29	346	11210
30	349	10933
31	353	10702
32	358	10495
33	361	10284
34	366	10094
35	370	9925
36	374	9754
37	378	9585
38	391	9654
39	395	9493
40	398	9325
41	402	9175
42	424	9444
43	430	9359
44	437	9283
45	443	9197
46	449	9115
47	456	9047
48	462	8976
49	468	8905
50	474	8834
51	481	8769
52	488	8731
53	495	8675
54	501	8615
55	507	8549
56	512	8475
57	517	8399
58	521	8323
59	526	8255
60	531	8179
61	535	8105
62	540	8036
63	544	7969
64	549	7907
65	554	7840
66	558	7772
67	562	7703
68	565	7630
69	568	7559
70	572	7491
71	575	7419
72	578	7349
73	580	7269
74	583	7199
75	586	7133
76	589	7070
77	592	7009
78	595	6948
79	598	6886
80	601	6825
81	604	6767
82	607	6708
83	619	6755
84	635	6844
85	640	6811
86	645	6771
87	650	6741
88	654	6703
89	659	6666
90	663	6628
91	667	6590
92	671	6553
93	676	6518
94	681	6488
95	685	6451
96	689	6416
97	692	6378
98	713	6489
99	719	6474
100	725	6460
101	732	6446
102	738	6429
103	757	6530
104	764	6512
105	770	6500
106	776	6484
107	783	6468
108	789	6451
109	795	6435
110	802	6426
111	817	6484
112	823	6461
113	828	6437
114	832	6409
115	837	6384
116	841	6353
117	846	6330
118	850	6299
119	854	6267
120	858	6239
121	862	6209
122	867	6182
123	871	6156
124	876	6135
125	893	6197
126	899	6184
127	906	6173
128	911	6156
129	917	6141
130	923	6126
131	929	6111
132	935	6096
133	940	6080
134	970	6215
135	976	6203
136	982	6189
137	988	6177
138	995	6165
139	1001	6150
140	1006	6134
141	1012	6118
142	1017	6098
143	1022	6080
144	1028	6061
145	1032	6041
146	1037	6019
147	1043	6008
148	1047	5981
149	1050	5952
150	1053	5924
151	1076	6003
152	1082	5993
153	1088	5982
154	1094	5966
155	1100	5952
156	1105	5936
157	1110	5917
158	1115	5897
159	1120	5881
160	1124	5861
161	1129	5842
162	1133	5821
163	1137	5800
164	1142	5779
165	1147	5766
166	1152	5746
167	1163	5761
168	1167	5740
169	1171	5719
170	1175	5700
171	1180	5681
172	1184	5662
173	1189	5644
174	1193	5625
175	1196	5602
176	1200	5581
177	1203	5559
178	1207	5538
179	1210	5515
180	1214	5493
181	1217	5474
182	1221	5455
183	1225	5436
184	1229	5417
185	1233	5397
186	1237	5378
187	1240	5358
188	1243	5337
189	1247	5316
190	1250	5297
191	1268	5338
192	1272	5319
193	1275	5299
194	1279	5280
195	1283	5263
196	1286	5244
197	1289	5224
198	1293	5204
199	1296	5186
200	1299	5167
201	1303	5150
202	1307	5132
203	1310	5113
204	1313	5095
205	1317	5076
206	1319	5056
207	1322	5036
208	1325	5018
209	1328	4997
210	1331	4979
211	1334	4961
212	1337	4942
213	1340	4923
214	1356	4951
215	1358	4931
216	1361	4912
217	1364	4894
218	1367	4876
219	1370	4858
220	1372	4839
221	1375	4820
222	1378	4802
223	1380	4783
224	1383	4766
225	1386	4748
226	1389	4730
227	1403	4752
228	1408	4740
229	1413	4730
230	1417	4718
231	1419	4698
232	1423	4687
233	1428	4675
234	1434	4671
235	1440	4662
236	1444	4650
237	1448	4639
238	1453	4626
239	1456	4613
240	1460	4601
241	1464	4585
242	1467	4570
243	1470	4554
244	1472	4539
245	1476	4524
246	1478	4508
247	1480	4488
248	1482	4472
249	1485	4457
250	1492	4452
251	1495	4437
252	1498	4424
253	1501	4409
254	1504	4394
255	1506	4379
256	1510	4365
257	1512	4350
258	1515	4336
259	1518	4321
260	1521	4308
261	1524	4294
262	1527	4280
263	1530	4266
264	1533	4252
265	1536	4240
266	1540	4228
267	1543	4215
268	1546	4202
269	1549	4188
270	1552	4175
271	1555	4162
272	1558	4149
273	1560	4135
274	1563	4122
275	1567	4110
276	1570	4098
277	1572	4085
278	1575	4072
279	1578	4059
280	1581	4046
281	1584	4033
282	1586	4020
283	1589	4007
284	1592	3994
285	1594	3981
286	1613	4007
287	1616	3995
288	1619	3983
289	1621	3970
290	1624	3957
291	1627	3945
292	1630	3933
293	1632	3920
294	1635	3907
295	1638	3895
296	1641	3884
297	1644	3874
298	1647	3862
299	1650	3850
300	1653	3840
301	1656	3828
302	1659	3817
303	1662	3806
304	1665	3795
305	1673	3796
306	1677	3786
307	1678	3772
308	1681	3761
309	1685	3750
310	1687	3739
311	1690	3728
312	1693	3717
313	1696	3705
314	1702	3702
315	1705	3692
316	1719	3704
317	1723	3695
318	1727	3686
319	1730	3678
320	1734	3669
321	1737	3659
322	1741	3649
323	1744	3640
324	1765	3666
325	1769	3659
326	1774	3651
327	1780	3647
328	1784	3639
329	1788	3631
330	1792	3623
331	1797	3616
332	1801	3608
333	1805	3600
334	1810	3593
335	1814	3585
336	1818	3576
337	1822	3569
338	1826	3561
339	1830	3553
340	1834	3545
341	1838	3537
342	1843	3530
343	1847	3523
344	1851	3515
345	1855	3506
346	1858	3497
347	1862	3488
348	1863	3476
349	1867	3467
350	1870	3458
351	1873	3449
352	1885	3455
353	1889	3448
354	1894	3442
355	1898	3434
356	1902	3426
357	1907	3419
358	1911	3413
359	1916	3406
360	1920	3399
361	1924	3392
362	1929	3385
363	1933	3377
364	1936	3369
365	1940	3360
366	1942	3350
367	1945	3341
368	1960	3353
369	1966	3349
370	1972	3344
371	1978	3339
372	1984	3335
373	1990	3331
374	1995	3326
375	2001	3321
376	2007	3316
377	2012	3312
378	2017	3306
379	2022	3300
380	2027	3293
381	2032	3287
382	2037	3281
383	2042	3276
384	2047	3270
385	2052	3265
386	2057	3259
387	2062	3253
388	2081	3269
389	2087	3264
390	2093	3260
391	2098	3255
392	2104	3250
393	2108	3243
394	2113	3237
395	2118	3231
396	2122	3224
397	2127	3217
398	2131	3210
399	2135	3203
400	2139	3195
401	2143	3188
402	2147	3181
403	2152	3175
404	2157	3169
405	2162	3164
406	2168	3159
407	2173	3154
408	2178	3148
409	2183	3142
410	2190	3138
411	2195	3133
412	2215	3149
413	2221	3144
414	2226	3139
415	2231	3132
416	2237	3128
417	2243	3123
418	2248	3118
419	2254	3112
420	2260	3109
421	2266	3104
422	2271	3099
423	2276	3093
424	2281	3086
425	2285	3079
426	2290	3073
427	2293	3065
428	2297	3057
429	2300	3050
430	2304	3042
431	2307	3033
432	2310	3025
433	2313	3017
434	2316	3009
435	2320	3001
436	2323	2992
437	2325	2984
438	2328	2975
439	2331	2966
440	2333	2958
441	2336	2949
442	2339	2941
443	2342	2932
444	2344	2924
445	2347	2915
446	2350	2907
447	2352	2898
448	2355	2890
449	2364	2889
450	2366	2880
451	2369	2872
452	2371	2863
453	2374	2855
454	2377	2847
455	2379	2838
456	2382	2830
457	2384	2822
458	2387	2814
459	2390	2806
460	2392	2797
461	2395	2789
462	2398	2781
463	2400	2773
464	2402	2764
465	2405	2756
466	2408	2748
467	2410	2740
468	2413	2732
469	2416	2724
470	2418	2716
471	2421	2708
472	2424	2700
473	2426	2692
474	2429	2685
475	2438	2684
476	2441	2677
477	2444	2669
478	2448	2663
479	2451	2656
480	2470	2665
481	2475	2660
482	2479	2654
483	2484	2648
484	2488	2642
485	2493	2636
486	2496	2630
487	2500	2623
488	2503	2616
489	2506	2608
490	2509	2601
491	2512	2594
492	2515	2586
493	2530	2591
494	2546	2597
495	2551	2592
496	2555	2586
497	2559	2580
498	2564	2574
499	2568	2568
500	2572	2561
501	2576	2555
502	2580	2549
503	2591	2550
504	2597	2546
505	2603	2542
506	2610	2537
507	2615	2533
508	2621	2529
509	2627	2524
510	2632	2519
511	2636	2512
512	2640	2506
513	2644	2500
514	2649	2495
515	2654	2489
516	2657	2483
517	2662	2477
518	2665	2470
519	2670	2464
520	2674	2458
521	2678	2452
522	2682	2446
523	2687	2440
524	2691	2434
525	2695	2428
526	2698	2421
527	2701	2415
528	2704	2408
529	2708	2401
530	2711	2394
531	2725	2397
532	2728	2390
533	2731	2383
534	2734	2377
535	2738	2370
536	2740	2363
537	2743	2356
538	2746	2348
539	2749	2341
540	2751	2334
541	2754	2327
542	2757	2320
543	2760	2313
544	2763	2306
545	2766	2300
546	2769	2293
547	2771	2286
548	2774	2278
549	2776	2271
550	2779	2264
551	2784	2260
552	2787	2252
553	2789	2245
554	2791	2238
555	2794	2231
556	2797	2224
557	2799	2217
558	2802	2210
559	2804	2203
560	2807	2196
561	2809	2189
562	2812	2183
563	2815	2176
564	2817	2169
565	2820	2162
566	2822	2155
567	2830	2152
568	2834	2146
569	2838	2141
570	2841	2135
571	2846	2129
572	2850	2123
573	2853	2118
574	2857	2112
575	2863	2107
576	2868	2102
577	2872	2097
578	2876	2091
579	2880	2086
580	2884	2080
581	2888	2074
582	2891	2068
583	2895	2062
584	2899	2056
585	2902	2050
586	2905	2044
587	2908	2038
588	2912	2032
589	2915	2025
590	2918	2019
591	2920	2013
592	2923	2006
593	2926	2000
594	2929	1993
595	2931	1987
596	2934	1981
597	2937	1974
598	2940	1968
599	2942	1961
